marca,modello,paese,prezzo_auto,anticipo,durata,importo_finanziato,importo_totale_dovuto,taeg,tan_fisso,rata,carrozzeria,tipo_di_veicolo,trazione,posti,porte,offerta_n,per_neopatentati,chilometraggio,anno,anno_di_produzione,potenza,tipo_di_cambio,cilindrata,marce,cilindri,peso_a_vuoto,carburante,consumo_di_carburante2_8,emissioni_co_2_8,classe_emissioni,comfort,intrattenimento_media,sicurezza,extra,colore,colore_specifico,tipo_di_vernice,materiale,optional,altre_fonti_energetiche,acconto,usato_garantito,veicolo_non_fumatori,colore_finiture_interne,versione_per_nazione,ultimo_tagliando,proprietari,tagliandi_certificati,revisione,costo_del_trasferimento,consumo_di_carburante_wltp_2_8,emissioni_co_wltp_2_8,cambio_cinghia_distribuzione,emissioni_co_2,costo_di_registrazione,importo_da_pagare,importo_totale_netto_del_credito,importo_lordo_del_credito,spese,taeg_2,rata_mensile,rata_finale,acconto_1,offerta_n_,costo_del_trasferimento_,intrattenimento___media,importo_lordo_del_credito__,taeg_
Fiat ,Panda,"Mestre - Venezia - Ve, IT","€ 6.900,-",-0,60 Mesi,"€ 6.900,-","€ 8.616,45","9,53 %","8,21 %","€ 140,57",Berlina,Usato,Anteriore,4,5,7944187,Sì,32.958 km,03/2013,2013,51 kW (69 CV),Manuale,1.242 cm³,5,4,940 kg,Benzina,"5,2 l/100 km (comb.)6,7 l/100 km (urbano)4,3 l/100 km (extraurbano)",120 g/km (comb.),Euro 5,Comfort,Intrattenimento / Media,Sicurezza,Extra,Bianco,Bianco,Altro,Pelle scamosciata,"Alzacristalli elettrici*Autoradio*CD*MP3*ABS*Airbag conducente*Airbag passeggero*Airbag testa*Chiusura centralizzata*Servosterzo*Kit antipanne*Portapacchi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Mappano Di Borgaro - Torino - To, IT","€ 11.000,-",-0,84 Mesi,"€ 11.800,-","€ 16.379,72","10,36 %","8,50 %","€ 190,83",City car,Usato,Anteriore,4,5,7577859,Sì,20.132 km,04/2022,2022,51 kW (69 CV),Manuale,999 cm³,6,3,980 kg,NA,"3,9 l/100 km (comb.)",NA,Euro 6,Comfort,Intrattenimento / Media,Sicurezza,Extra,Nero,Nero,Altro,Pelle scamosciata,"Alzacristalli elettrici*Climatizzatore*Start/Stop Automatico*Autoradio*Autoradio digitale*Bluetooth*USB*Airbag conducente*Airbag passeggero*Airbag testa*Chiusura centralizzata*ESP*Servosterzo*Sistema di controllo pressione pneumatici*Portapacchi*Tutti i prezzi si intendono al netto dei costi di messa su strada, voltura e gestione amministrativa. La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l’effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l’inconveniente e vi invitiamo a verificare con il nostro venditore le caratteristiche dello specifico veicolo. Saicar S.r.l declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,"€ 5.698,-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Roma - Rm, IT","€ 3.800,-",-0,60 Mesi,"€ 3.800,-","€ 4.742,90","9,51 %","7,50 %","€ 76,14",Berlina,Usato,Anteriore,4,5,20515252,Sì,116.000 km,11/2004,NA,44 kW (60 CV),Automatico,1.242 cm³,5,4,935 kg,Benzina,"5,6 l/100 km (comb.)7,1 l/100 km (urbano)4,8 l/100 km (extraurbano)",133 g/km (comb.),Euro 4,Comfort,Intrattenimento / Media,Sicurezza,NA,Blu/Azzurro,Blu,Altro,Stoffa,"Alzacristalli elettrici*MP3*USB*ABS*Airbag conducente*Airbag passeggero*Chiusura centralizzata*Immobilizzatore elettronico*Servosterzo*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,12 mesi,Sì,Blu/Azzurro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Robecco Sul Naviglio - Milano - Mi, IT","€ 10.890,-",-0,60 Mesi,"€ 10.900,-","€ 13.293,60","8,43 %","7,50 %","€ 218,41",Berlina,Usato,Anteriore,4,5,AS13248,NA,27.685 km,09/2022,NA,51 kW (69 CV),Manuale,999 cm³,6,3,NA,NA,"4,1 l/100 km (comb.)",93 g/km (comb.),NA,NA,NA,NA,NA,Bianco,Bianco,NA,Stoffa,"IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,"€ 5.698,-",NA,NA,Nero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Frossasco - To, IT","€ 5.900,-",-0,60 Mesi,"€ 5.900,-","€ 7.391,75","9,68 %","8,21 %","€ 120,20",City car,Usato,NA,4,5,NA,Sì,98.000 km,07/2011,NA,51 kW (69 CV),Manuale,1.242 cm³,5,4,930 kg,Gas di petrolio liquefatto,"4,9 l/100 km (comb.)6,4 l/100 km (urbano)4 l/100 km (extraurbano)",104 g/km (comb.),Euro 5,Comfort,Intrattenimento / Media,Sicurezza,Extra,Bianco,NA,NA,Stoffa,"Climatizzatore*Controllo automatico clima*Specchietti laterali elettrici*Tettuccio apribile*Volante in pelle*Autoradio*CD*MP3*Sound system*Airbag conducente*Airbag laterali*Airbag passeggero*Antifurto*Fendinebbia*Frenata d'emergenza assistita*Immobilizzatore elettronico*Servosterzo*Cerchi in lega*Portapacchi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-",12 mesi,NA,Altro,Italia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Cassina dè Pecchi - Milano - MI, IT","€ 4.900,-",-0,60 Mesi,"€ 4.900,-","€ 6.068,65","9,15 %","7,51 %","€ 98,19",City car,Usato,Anteriore,4,5,NA,Sì,99.817 km,02/2009,NA,44 kW (60 CV),Manuale,1.242 cm³,5,4,930 kg,Benzina,"5,6 l/100 km (comb.)7,1 l/100 km (urbano)4,8 l/100 km (extraurbano)",119 g/km (comb.),Euro 4,Comfort,Intrattenimento / Media,Sicurezza,Extra,Bianco,NA,NA,Stoffa,"Alzacristalli elettrici*Climatizzatore*Sedile posteriore sdoppiato*Specchietti laterali elettrici*Volante in pelle*Autoradio*CD*MP3*Airbag conducente*Airbag laterali*Airbag passeggero*Fendinebbia*Frenata d'emergenza assistita*Isofix*Servosterzo*Portapacchi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 7.798,-",NA,NA,Blu/Azzurro,Italia,02/2024,1,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Torino - To, IT","€ 9.990,-",-0,60 Mesi,"€ 10.000,-","€ 12.268,80","8,70 %","7,70 %","€ 201,33",City car,Usato,Anteriore,4,5,NA,Sì,27.000 km,02/2020,NA,51 kW (69 CV),Manuale,1.242 cm³,5,4,1.055 kg,Benzina,"4,9 l/100 km (comb.)5,8 l/100 km (urbano)4,3 l/100 km (extraurbano)",111 g/km (comb.),NA,Comfort,Intrattenimento / Media,Sicurezza,Extra,Bianco,NA,NA,Altro,"Alzacristalli elettrici*Climatizzatore*Sedile passeggero ribaltabile*Start/Stop Automatico*Volante multifunzione*Autoradio*Autoradio digitale*MP3*Sound system*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Fendinebbia*Servosterzo*Cerchioni in acciaio*Luce d'ambiente*Ruotino*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,12 mesi,NA,Grigio,Italia,02/2024,1,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Cassina De' Pecchi, IT","€ 4.800,-",-0,60 Mesi,"€ 4.800,-","€ 5.947,80","9,17 %","7,50 %","€ 96,18",Berlina,Usato,Anteriore,4,5,20503604,Sì,144.800 km,07/2010,NA,51 kW (69 CV),Manuale,1.242 cm³,5,4,935 kg,Benzina,"4,9 l/100 km (comb.)6,4 l/100 km (urbano)4 l/100 km (extraurbano)",113 g/km (comb.),Euro 5,Comfort,Intrattenimento / Media,Sicurezza,Extra,Nero,Nero,Altro,Stoffa,"Alzacristalli elettrici*Climatizzatore*Autoradio*CD*Computer di bordo*ABS*Airbag conducente*Airbag passeggero*Chiusura centralizzata*Immobilizzatore elettronico*Isofix*Servosterzo*Ruotino*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 8.464,-",12 mesi,Sì,Grigio,NA,NA,NA,Sì,07/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Alba CN, IT","€ 10.900,-",-0,60 Mesi,"€ 10.900,-","€ 13.293,60","8,43 %","7,50 %","€ 218,41",Berlina,Usato,4x4,4,5,20005354,Sì,91.300 km,05/2013,NA,55 kW (75 CV),Manuale,1.248 cm³,5,4,1.190 kg,Diesel (Filtro antiparticolato),"4,7 l/100 km (comb.)5,5 l/100 km (urbano)4 l/100 km (extraurbano)",124 g/km (comb.),Euro 5,Comfort,Intrattenimento / Media,Sicurezza,Extra,Argento,Argento,Metallizzato,Stoffa,"Alzacristalli elettrici*Climatizzatore*Climatizzatore automatico, 2 zone*Park distance control*Sensori di parcheggio assistito posteriori*Specchietti laterali elettrici*Volante in pelle*Volante multifunzione*Autoradio*USB*ABS*Airbag conducente*Airbag passeggero*Airbag testa*Chiusura centralizzata*Controllo automatico trazione*ESP*Fendinebbia*Immobilizzatore elettronico*Servosterzo*Cerchi in lega*Ruotino*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Ciserano - Bergamo - Bg, IT","€ 10.500,-",-0,60 Mesi,"€ 10.500,-","€ 12.813,-","8,46 %","7,51 %","€ 210,40",City car,Usato,Anteriore,5,5,NA,Sì,32.200 km,03/2022,NA,51 kW (69 CV),Manuale,999 cm³,6,3,1.055 kg,Super 95,"3,9 l/100 km (comb.)",121 g/km (comb.),Euro 6,Comfort,Intrattenimento / Media,Sicurezza,Extra,Grigio,NA,Metallizzato,Stoffa,"Alzacristalli elettrici*Climatizzatore*Controllo automatico clima*Regolazione elettrica sedili*Start/Stop Automatico*Vetri oscurati*Volante multifunzione*Autoradio digitale*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Fendinebbia*Frenata d'emergenza assistita*Servosterzo*Sistema di controllo pressione pneumatici*Cerchioni in acciaio*Luce d'ambiente*Portapacchi*Ruotino*Immatricolazione: [03/2022]*Chilometraggio: [32.200 KM]*Potenza: [51 Kw/69 Cv]*Cilindrata: [999 cc]*Carburante: [Elettrica/Benzina]*Colore: [Grigio Metallizzato]*Cambio: [Manuale]*Marce: [5]*Porte: [5]*Sistema ABS: ✔*Airbag conducente: ✔*Airbag passeggero: ✔*Airbag laterali: ✔*Controllo elettronico della stabilità (ESP): ✔*Sistema di frenata antibloccaggio (ASR): ✔*Assistenza alla frenata di emergenza (EBA): ✔*Sensore pressione pneumatici: ✔*Isofix: ✔*Fari fendinebbia: ✔*Sistema di monitoraggio della pressione degli pneumatici (TPMS): ✔*Chiusura centralizzata: ✔*Alzacristalli elettrici: ✔*Climatizzatore: ✔*Navigatore satellitare: ✔*Radio/CD/MP3: ✔*📞 Chiamata: +39 351 3191597*Venerdì: 9:00 - 12:30 e 15:00 - 18:30*Sabato: 9:00 - 12:30 e 15:00 - 18:00*📱 WhatsApp: +39 351 3191597 (Negli stessi orari indicati)*✉️ Email: commercialebg2@autoberlin.it*Concessionaria di VERONA - Via Belgio, 4 VillafrancaTEL. 045/4648080*Concessionaria di BERGAMO - Corso Europa, 20 Verdellino*Concessionaria di BRESCIA - Via Caselle, 6 San Zeno Naviglio*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,NA,60 mesi,NA,Nero,Italia,NA,1,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Torino - To, IT","€ 9.090,-",-0,60 Mesi,"€ 9.100,-","€ 11.245,75","9,04 %","7,96 %","€ 184,30",City car,Usato,NA,5,5,NA,Sì,36.500 km,07/2022,NA,51 kW (69 CV),Manuale,999 cm³,6,3,1.055 kg,NA,"3,9 l/100 km (comb.)",89 g/km (comb.),Euro 6d-TEMP,Comfort,Intrattenimento / Media,Sicurezza,Extra,Nero,NA,NA,Stoffa,"Alzacristalli elettrici*Climatizzatore*Regolazione elettrica sedili*Start/Stop Automatico*Autoradio digitale*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Servosterzo*Sistema di controllo pressione pneumatici*Cerchioni in acciaio*Luce d'ambiente*Portapacchi*Estensione di garanzia*Tre tagliandi ufficiali*Un treno gomme aggiuntivo*Auto sostitutiva sempre gratuita*Bonus futuro garantito se vorrai riacquistare da noi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,"€ 5.198,-",60 mesi,Sì,Nero,Italia,03/2024,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Frossasco - To, IT","€ 13.990,-",-0,60 Mesi,"€ 14.000,-","€ 17.020,80","8,28 %","7,50 %","€ 280,53",City car,KM0,NA,5,5,NA,Sì,1 km,10/2023,NA,51 kW (69 CV),Manuale,999 cm³,6,3,1.055 kg,NA,NA,NA,Euro 6d-TEMP,Comfort,Intrattenimento / Media,Sicurezza,Extra,Blu/Azzurro,NA,NA,NA,"Alzacristalli elettrici*Controllo automatico clima*Regolazione elettrica sedili*Sedile passeggero ribaltabile*Sedile posteriore sdoppiato*Sensore di luminosità*Sensore di pioggia*Specchietti laterali elettrici*Start/Stop Automatico*Vetri oscurati*Volante multifunzione*Autoradio*MP3*Sound system*Airbag conducente*Airbag laterali*Airbag passeggero*Assistente abbaglianti*Chiusura centralizzata*Chiusura centralizzata telecomandata*ESP*Fari di profondità antiabbagliamento*Fendinebbia*Servosterzo*Sistema di controllo pressione pneumatici*Cerchioni in acciaio*Gancio traino*Portapacchi*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,"€ 0,-",NA,NA,Altro,NA,NA,NA,NA,NA,Keine Angabe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Bivio Cava Manara - Pavia - PA, IT","€ 12.700,-",-0,60 Mesi,"€ 12.700,-","€ 15.457,80","8,34 %","7,50 %","€ 254,48",City car,Usato,Anteriore,5,5,NA,Sì,1 km,07/2023,NA,51 kW (69 CV),Manuale,999 cm³,6,3,1.055 kg,NA,"3,9 l/100 km (comb.)",121 g/km (comb.),NA,Comfort,Intrattenimento / Media,Sicurezza,Extra,Grigio,GRIGIO MAESTRO,Metallizzato,Stoffa,"Alzacristalli elettrici*Climatizzatore*Start/Stop Automatico*Vetri oscurati*Volante multifunzione*Autoradio*Autoradio digitale*Bluetooth*Computer di bordo*MP3*USB*Vivavoce*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata telecomandata*ESP*Fendinebbia*Immobilizzatore elettronico*Isofix*Luci diurne*Servosterzo*Sistema di controllo pressione pneumatici*Cerchioni in acciaio*Pneumatici estivi*Portapacchi*Ruotino*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,NA,NA,NA,Nero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Torino - To, IT","€ 7.240,-",-0,60 Mesi,"€ 7.250,-","€ 9.045,13","9,49 %","8,21 %","€ 147,70",City car,Usato,Anteriore,4,5,NA,Sì,16.890 km,10/2020,NA,51 kW (69 CV),Manuale,1.242 cm³,5,4,1.055 kg,Benzina,"4,9 l/100 km (comb.)5,8 l/100 km (urbano)4,3 l/100 km (extraurbano)",111 g/km (comb.),Euro 6,Comfort,NA,Sicurezza,Extra,Arancione,ARANCIO SICILIA,NA,Stoffa,"Alzacristalli elettrici*Climatizzatore*Hill Holder*Start/Stop Automatico*Airbag conducente*Airbag laterali*Airbag passeggero*Chiusura centralizzata*Chiusura centralizzata telecomandata*Controllo automatico trazione*ESP*Frenata d'emergenza assistita*Servosterzo*Sistema di avviso di distanza*Sistema di controllo pressione pneumatici*Ruotino*Estensione di garanzia*Tre tagliandi ufficiali*Un treno gomme aggiuntivo*Auto sostitutiva sempre gratuita*Bonus futuro garantito se vorrai riacquistare da noi*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,"€ 0,-",60 mesi,Sì,Nero,Italia,03/2024,1,Sì,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiat ,Panda,"Como - Co, IT","€ 10.850,-",-0,60 Mesi,"€ 10.850,-","€ 13.233,60","8,43 %","7,50 %","€ 217,41",Berlina,Usato,Anteriore,4,5,20046695,Sì,37.800 km,03/2022,NA,51 kW (69 CV),Manuale,999 cm³,6,3,1.055 kg,NA,"3,9 l/100 km (comb.)",89 g/km (comb.),Euro 6d,Comfort,Intrattenimento / Media,Sicurezza,NA,Grigio,Grigio,Metallizzato,Stoffa,"Alzacristalli elettrici*Climatizzatore*Autoradio*Bluetooth*ABS*Airbag conducente*Airbag passeggero*Airbag testa*Antifurto*Chiusura centralizzata*Controllo automatico trazione*ESP*Immobilizzatore elettronico*Servosterzo*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Corrente elettrica ,NA,12 mesi,Sì,Nero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
